Дом на дереве	Великолепный, огромный дворец с комнтатой для грязи	2024-05-08T10:58:42.795Z	Amsterdam	flat.jpg	hut1.jpg	true	true	3	House	3	8	58219		Виниамин	fish@big.local	roland.jpg	qwerty	Обычный	0	52.370216;4.895168
Шалаш	Домик на дереве есть душ из ведра, которое наполняется после дождей	2024-05-06T10:58:42.796Z	Brussels	flat.jpg	tree-house1.jpg;tree-house2.jpg;tree-house3.jpg	false	false	3	Room	3	10	2516	Washer;Towels;Fridge	Олег	president@dka.local	smite.jpg	password	Pro	0	50.846557;4.351697
Дом на дереве	Просторный шалаш 6 квадратных метров без удобств	2024-05-04T10:58:42.796Z	Dusseldorf	castle.jpg	hut1.jpg	false	false	2	Hotel	4	8	95821	Air conditioning ;Laptop friendly workspace 	Роланд	president@dka.local	photo.jpg	backto2007	Обычный	0	51.225402;6.776314
Дворец	Великолепный, огромный дворец с комнтатой для грязи	2024-05-08T10:58:42.796Z	Cologne	hut.jpg	hut1.jpg	true	true	2	Hotel	6	8	29930	Washer;Towels;Fridge	Олег	president@dka.local	smite.jpg	caesar	Pro	0	50.938361;6.959974
Дом на дереве	Великолепный, огромный дворец с комнтатой для грязи	2024-05-06T10:58:42.796Z	Hamburg	hut.jpg	castle1.jpg;castle2.jpg	false	false	3	Room	1	10	97993	Towels;Fridge	Иван	president@dka.local	smite.jpg	blazer	Pro	0	53.550341;10.000654
1 комнатная квартира	Домик на дереве есть душ из ведра, которое наполняется после дождей	2024-05-03T10:58:42.796Z	Hamburg	wigwam.jpg	castle1.jpg;castle2.jpg	true	true	1	Apartment	6	5	29365	Fridge	Пьер	test@pisem.local	photo.jpg	password	Pro	0	53.550341;10.000654
1 комнатная квартира	Сдам вигвам без посредников	2024-05-07T10:58:42.796Z	Brussels	tree-house.jpg	hut1.jpg	true	false	5	House	3	3	71710	Air conditioning ;Laptop friendly workspace ;Baby seat;Washer;Towels;Fridge	Виниамин	president@dka.local	awesome-avatar.jpg	password	Pro	0	50.846557;4.351697
Дворец	Сдам вигвам без посредников	2024-05-08T10:58:42.796Z	Cologne	hut.jpg	hut1.jpg	true	false	2	Room	5	6	26724	Air conditioning ;Laptop friendly workspace ;Baby seat;Washer;Towels	Пьер	president@dka.local	photo.jpg	password	Обычный	0	50.938361;6.959974
Шалаш	Великолепный, огромный дворец с комнтатой для грязи	2024-05-07T10:58:42.797Z	Amsterdam	castle.jpg	hut1.jpg	false	false	3	Room	6	6	50373	Air conditioning ;Laptop friendly workspace ;Baby seat;Washer;Towels	Роланд	test@pisem.local	smite.jpg	caesar	Pro	0	52.370216;4.895168
Дом на дереве	Великолепный, огромный дворец с комнтатой для грязи	2024-05-05T10:58:42.797Z	Hamburg	hut.jpg	hut1.jpg	true	false	3	House	4	7	8446	Laptop friendly workspace ;Baby seat;Washer;Towels;Fridge	Пьер	fish@big.local	roland.jpg	backto2007	Pro	0	53.550341;10.000654
